species,species_id_method,strain,isotype,previous_names,release,source_lab,latitude,longitude,landscape,locality_description,substrate,substrate_comments,substrate_temp,ambient_temp,ambient_humidity,associated_organism,inbreeding_state,sampled_by,isolated_by,sampling_date,sampling_date_comments,notes,set,issues,issue_notes,isotype_ref_strain,wgs_seq
Caenorhabditis elegans,ITS2,ECA2546,,S-12454,,ECA,-38.1505555555556,144.378888888889,Botanical_garden_or_zoo,,Rotting_nut/pod/seed/fruit,,15.5,17.4,69.7,,,L. Stevens,C. Buchanan,2020-02-20,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis elegans,ITS2,ECA2547,,S-12456,,ECA,-38.1505555555556,144.378888888889,Botanical_garden_or_zoo,,Rotting_nut/pod/seed/fruit,,15.5,17.4,69.7,,,L. Stevens,C. Buchanan,2020-02-20,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis elegans,ITS2,ECA2548,,S-12482,,ECA,-37.870154899999,144.9824148,Botanical_garden_or_zoo,,Rotting_nut/pod/seed/fruit,,19,20.8,64.4,,,L. Stevens,C. Buchanan,2020-02-22,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis elegans,ITS2,ECA2549,,S-12485,,ECA,-37.8699364,144.983881400002,Botanical_garden_or_zoo,,Rotting_nut/pod/seed/fruit,,18,21.5,62.5,,,L. Stevens,C. Buchanan,2020-02-22,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis elegans,ITS2,ECA2550,,S-12486,,ECA,-37.8699364,144.983881400002,Botanical_garden_or_zoo,,Rotting_nut/pod/seed/fruit,,18,21.5,62.5,,,L. Stevens,C. Buchanan,2020-02-22,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis elegans,ITS2,ECA2551,,S-12487,,ECA,-37.8699364,144.983881400002,Botanical_garden_or_zoo,,Rotting_nut/pod/seed/fruit,,18,21.5,62.5,,,L. Stevens,C. Buchanan,2020-02-22,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis elegans,ITS2,ECA2552,,S-12493,,ECA,-37.870154899999,144.9824148,Botanical_garden_or_zoo,,Rotting_nut/pod/seed/fruit,,19,20.8,64.4,,,L. Stevens,C. Buchanan,2020-02-22,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis elegans,ITS2,ECA2553,,S-12577,,ECA,-37.8699364,144.983881400002,Botanical_garden_or_zoo,,Rotting_nut/pod/seed/fruit,,18,21.5,62.5,,,L. Stevens,C. Buchanan,2020-02-22,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis elegans,ITS2,ECA2554,,S-12611,,ECA,-37.8700328,144.983856,Botanical_garden_or_zoo,,Rotting_nut/pod/seed/fruit,,18,22.2,59.5,,,L. Stevens,C. Buchanan,2020-02-22,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis elegans,ITS2,ECA2555,,S-12743,,ECA,-37.8700328,144.983856,Botanical_garden_or_zoo,,Rotting_nut/pod/seed/fruit,,18,22.2,59.5,,,L. Stevens,C. Buchanan,2020-02-22,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis elegans,ITS2,ECA2556,,S-12781,,ECA,-37.87,144.983611111111,Botanical_garden_or_zoo,,Rotting_nut/pod/seed/fruit,,17.8,22.2,60.9,,,L. Stevens,C. Buchanan,2020-02-22,,Fulcrum collection 2020FebruaryAustralia,,,,,
