species,species_id_method,strain,isotype,previous_names,release,source_lab,latitude,longitude,landscape,locality_description,substrate,substrate_comments,substrate_temp,ambient_temp,ambient_humidity,associated_organism,inbreeding_state,sampled_by,isolated_by,sampling_date,sampling_date_comments,notes,set,issues,issue_notes,isotype_ref_strain,wgs_seq
Caenorhabditis briggsae,ITS2,ECA2604,,S-13186,,ECA,-26.6212871577839,152.692734114968,Forest,,Rotting_nut/pod/seed/fruit,,,,,,,M. Rockman,C. Buchanan,2020-02-26,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2613,,S-13407,,ECA,-26.6213395,152.692380893505,Forest,,Rotting_nut/pod/seed/fruit,,26.1,,,,,E. Andersen,C. Buchanan,2020-02-26,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2614,,S-13412,,ECA,-26.6213395,152.692380893505,Forest,,Rotting_nut/pod/seed/fruit,,26.1,,,,,E. Andersen,C. Buchanan,2020-02-26,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2617,,S-13500,,ECA,-26.2621444444445,152.829552777778,Forest,,Rotting_nut/pod/seed/fruit,,,,,,,M. Rockman,C. Buchanan,2020-02-25,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2618,,S-13508,,ECA,-26.2619772,152.8296094,Forest,,Rotting_nut/pod/seed/fruit,,23.6,,,,,E. Andersen,C. Buchanan,2020-02-25,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2619,,S-13510,,ECA,-26.6275648,152.840982200002,Forest,,Rotting_nut/pod/seed/fruit,,24.4,,,,,E. Andersen,L. Stinson,2020-02-26,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2620,,S-13511,,ECA,-26.6275648,152.840982200002,Forest,,Rotting_nut/pod/seed/fruit,,24.4,,,,,E. Andersen,L. Stinson,2020-02-26,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2621,,S-13512,,ECA,-26.6275648,152.840982200002,Forest,,Rotting_nut/pod/seed/fruit,,24.4,,,,,E. Andersen,L. Stinson,2020-02-26,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2622,,S-13529,,ECA,-26.6298145009416,152.841386138614,Forest,,Rotting_nut/pod/seed/fruit,Picabeen palm nuts,24.5,,,,,E. Andersen,C. Buchanan,2020-02-26,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2624,,S-13555,,ECA,-26.2621444444445,152.829552777778,Forest,,Rotting_nut/pod/seed/fruit,,,,,,,M. Rockman,C. Buchanan,2020-02-25,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2625,,S-13558,,ECA,-26.6228223,152.6905986,Forest,,Rotting_flower,,26,,,,,E. Andersen,C. Buchanan,2020-02-26,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2626,,S-13578,,ECA,-26.6222138888889,152.691005555556,Forest,,Rotting_nut/pod/seed/fruit,Stinging tree fruit,28.1,,,,,M. Rockman,L. Stinson,2020-02-26,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2627,,S-13579,,ECA,-26.6222138888889,152.691005555556,Forest,,Rotting_nut/pod/seed/fruit,Stinging tree fruit,28.1,,,,,M. Rockman,L. Stinson,2020-02-26,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2628,,S-13590,,ECA,-26.6275648,152.840982200002,Forest,,Rotting_nut/pod/seed/fruit,,24.4,,,,,E. Andersen,L. Stinson,2020-02-26,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2629,,S-13598,,ECA,-26.6298145009416,152.841386138614,Forest,,Rotting_nut/pod/seed/fruit,Picabeen palm nuts,24.5,,,,,E. Andersen,C. Buchanan,2020-02-26,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2630,,S-13599,,ECA,-26.6298145009416,152.841386138614,Forest,,Rotting_nut/pod/seed/fruit,Picabeen palm nuts,24.5,,,,,E. Andersen,C. Buchanan,2020-02-26,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2631,,S-13605,,ECA,-26.6298145009416,152.841386138614,Forest,,Rotting_nut/pod/seed/fruit,Picabeen palm nuts,24.5,,,,,E. Andersen,C. Buchanan,2020-02-26,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2632,,S-13614,,ECA,-26.6228223,152.6905986,Forest,,Rotting_flower,,26,,,,,E. Andersen,C. Buchanan,2020-02-26,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2633,,S-13640,,ECA,-21.1684611111111,148.507919444444,Forest,,Rotting_nut/pod/seed/fruit,,22.1,,,,,M. Rockman,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2634,,S-13682,,ECA,-26.3674836,152.585245098039,Forest,,Rotting_nut/pod/seed/fruit,,26.9,,,,,E. Andersen,L. Stinson,2020-02-26,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2635,,S-13683,,ECA,-26.3674836,152.585245098039,Forest,,Rotting_nut/pod/seed/fruit,,26.9,,,,,E. Andersen,L. Stinson,2020-02-26,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2636,,S-13684,,ECA,-26.3674836,152.585245098039,Forest,,Rotting_nut/pod/seed/fruit,,26.9,,,,,E. Andersen,L. Stinson,2020-02-26,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2637,,S-13706,,ECA,-26.3674836,152.585245098039,Forest,,Rotting_nut/pod/seed/fruit,,26.9,,,,,E. Andersen,L. Stinson,2020-02-26,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2638,,S-13721,,ECA,-21.1684611111111,148.507919444444,Forest,,Rotting_nut/pod/seed/fruit,,22.1,,,,,M. Rockman,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2639,,S-13746,,ECA,-26.2620486111111,152.829424899999,Forest,,Rotting_nut/pod/seed/fruit,,23.3,,,,,E. Andersen,R. Tanny,2020-02-25,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2640,,S-13805,,ECA,-26.2620486111111,152.829424899999,Forest,,Rotting_nut/pod/seed/fruit,,23.3,,,,,E. Andersen,R. Tanny,2020-02-25,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2646,,S-13933,,ECA,-21.1683872,148.5075834,Forest,,Rotting_nut/pod/seed/fruit,,21.6,,,,,E. Andersen,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2647,,S-13936,,ECA,-21.1683872,148.5075834,Forest,,Rotting_nut/pod/seed/fruit,,21.6,,,,,E. Andersen,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2661,,S-13405,,ECA,-26.6213395,152.692380893505,Forest,,Rotting_nut/pod/seed/fruit,,26.1,,,,,E. Andersen,C. Buchanan,2020-02-26,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2662,,S-13406,,ECA,-26.6213395,152.692380893505,Forest,,Rotting_nut/pod/seed/fruit,,26.1,,,,,E. Andersen,C. Buchanan,2020-02-26,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2663,,S-13408,,ECA,-26.6213395,152.692380893505,Forest,,Rotting_nut/pod/seed/fruit,,26.1,,,,,E. Andersen,C. Buchanan,2020-02-26,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2666,,S-13550,,ECA,-21.1677162302855,148.504728013788,Forest,,Rotting_nut/pod/seed/fruit,,21.8,,,,,M. Rockman,C. Buchanan,2020-02-23,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2667,,S-13661,,ECA,-26.3674111111111,152.585288888889,Forest,,Rotting_nut/pod/seed/fruit,,,,,,,M. Rockman,C. Buchanan,2020-02-26,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2668,,S-13705,,ECA,-26.3674836,152.585245098039,Forest,,Rotting_nut/pod/seed/fruit,,26.9,,,,,E. Andersen,L. Stinson,2020-02-26,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2669,,S-13737,,ECA,-26.3588565,152.6355008,Forest,,Rotting_nut/pod/seed/fruit,,24.8,,,,,E. Andersen,C. Buchanan,2020-02-26,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2670,,S-13738,,ECA,-26.3588565,152.6355008,Forest,,Rotting_nut/pod/seed/fruit,,24.8,,,,,E. Andersen,C. Buchanan,2020-02-26,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,ITS2,ECA2671,,S-13893,,ECA,-26.6297277777778,152.84135,Forest,,Rotting_nut/pod/seed/fruit,,24.5,,,,,M. Rockman,R. Tanny,2020-02-26,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4026,,S-5250.1,,QG,-26.2619305555556,152.829672222222,Forest,Woondum,Rotting_nut/pod/seed/fruit,,23.6,,,,,M. Rockman,C. Buchanan,2020-02-25,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4027,,S-5250.2,,QG,-26.2619305555556,152.829672222222,Forest,Woondum,Rotting_nut/pod/seed/fruit,,23.6,,,,,M. Rockman,C. Buchanan,2020-02-25,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4028,,S-5250.3,,QG,-26.2619305555556,152.829672222222,Forest,Woondum,Rotting_nut/pod/seed/fruit,,23.6,,,,,M. Rockman,C. Buchanan,2020-02-25,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4029,,S-5250.4,,QG,-26.2619305555556,152.829672222222,Forest,Woondum,Rotting_nut/pod/seed/fruit,,23.6,,,,,M. Rockman,C. Buchanan,2020-02-25,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4030,,S-5250.5,,QG,-26.2619305555556,152.829672222222,Forest,Woondum,Rotting_nut/pod/seed/fruit,,23.6,,,,,M. Rockman,C. Buchanan,2020-02-25,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4031,,S-5250.6,,QG,-26.2619305555556,152.829672222222,Forest,Woondum,Rotting_nut/pod/seed/fruit,,23.6,,,,,M. Rockman,C. Buchanan,2020-02-25,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4058,,S-5341.3,,QG,-21.1459649,148.4998851,Forest,Eungella,Rotting_nut/pod/seed/fruit,,21.5,,,,,E. Andersen,C. Buchanan,2020-02-24,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4059,,S-5344.1,,QG,-21.1461744,148.4998921,Forest,Eungella,Rotting_nut/pod/seed/fruit,,21.5,,,,,E. Andersen,C. Buchanan,2020-02-24,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4061,,S-5344.3,,QG,-21.1461744,148.4998921,Forest,Eungella,Rotting_nut/pod/seed/fruit,,21.5,,,,,E. Andersen,C. Buchanan,2020-02-24,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4062,,S-5344.4,,QG,-21.1461744,148.4998921,Forest,Eungella,Rotting_nut/pod/seed/fruit,,21.5,,,,,E. Andersen,C. Buchanan,2020-02-24,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S and test cross,QG4063,,S-5344.5,,QG,-21.1461744,148.4998921,Forest,Eungella,Rotting_nut/pod/seed/fruit,,21.5,,,,,E. Andersen,C. Buchanan,2020-02-24,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4064,,S-5345.1,,QG,-21.1453727,148.4997337,Forest,Eungella,Rotting_nut/pod/seed/fruit,,21.7,,,,,E. Andersen,C. Buchanan,2020-02-24,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4065,,S-5345.2,,QG,-21.1453727,148.4997337,Forest,Eungella,Rotting_nut/pod/seed/fruit,,21.7,,,,,E. Andersen,C. Buchanan,2020-02-24,,Fulcrum collection 2020FebruaryAustralia,,,,,
Caenorhabditis briggsae,18S,QG4067,,S-5345.4,,QG,-21.1453727,148.4997337,Forest,Eungella,Rotting_nut/pod/seed/fruit,,21.7,,,,,E. Andersen,C. Buchanan,2020-02-24,,Fulcrum collection 2020FebruaryAustralia,,,,,
