fulcrum_id,fulcrum_parent_id,fulcrum_record_id,version,latitude,longitude,geometry,created_at,updated_at,created_by,updated_by,s_label
e06cbc61-6527-44ba-8cdb-e9c0db638b30,ef126f8d-eafe-4299-972f-42ad14279583,ef126f8d-eafe-4299-972f-42ad14279583,1,,,,2020-02-28 02:37:36 SST,2020-02-28 02:37:46 SST,claire.buchanan@northwestern.edu,claire.buchanan@northwestern.edu,S-12906
2edcee19-ffe3-451e-b9df-84a56e5384c6,ef126f8d-eafe-4299-972f-42ad14279583,ef126f8d-eafe-4299-972f-42ad14279583,1,42.0564812,-87.6736896,POINT (-87.6736896 42.0564812),2020-02-28 02:37:47 SST,2020-02-28 02:37:54 SST,claire.buchanan@northwestern.edu,claire.buchanan@northwestern.edu,S-12855
54f1874f-5bde-44c7-adb8-c727df201710,13b66597-2089-4bb0-bc2e-6ce4b92cc616,13b66597-2089-4bb0-bc2e-6ce4b92cc616,1,42.0565074,-87.67367,POINT (-87.67367 42.0565074),2020-02-28 02:41:30 SST,2020-02-28 02:41:38 SST,claire.buchanan@northwestern.edu,claire.buchanan@northwestern.edu,S-12914
9ad4f209-db35-4f68-a2bd-54bdcba8beb1,13b66597-2089-4bb0-bc2e-6ce4b92cc616,13b66597-2089-4bb0-bc2e-6ce4b92cc616,1,42.0565035,-87.6736734,POINT (-87.6736734 42.0565035),2020-02-28 02:41:39 SST,2020-02-28 02:41:45 SST,claire.buchanan@northwestern.edu,claire.buchanan@northwestern.edu,S-12913
8c58fa85-fb4e-421b-9800-f21369617bee,13b66597-2089-4bb0-bc2e-6ce4b92cc616,13b66597-2089-4bb0-bc2e-6ce4b92cc616,1,42.0565057,-87.6736736,POINT (-87.6736736 42.0565057),2020-02-28 02:41:46 SST,2020-02-28 02:41:54 SST,claire.buchanan@northwestern.edu,claire.buchanan@northwestern.edu,S-12953
6bf04d64-f9dd-48b7-8275-2635a2173f44,13b66597-2089-4bb0-bc2e-6ce4b92cc616,13b66597-2089-4bb0-bc2e-6ce4b92cc616,1,,,,2020-02-28 02:41:55 SST,2020-02-28 02:42:02 SST,claire.buchanan@northwestern.edu,claire.buchanan@northwestern.edu,S-12856
89cf6733-cae8-4aa6-aff2-fc0706db2637,13b66597-2089-4bb0-bc2e-6ce4b92cc616,13b66597-2089-4bb0-bc2e-6ce4b92cc616,1,42.0564948,-87.6736693,POINT (-87.6736693 42.0564948),2020-02-28 02:42:03 SST,2020-02-28 02:42:10 SST,claire.buchanan@northwestern.edu,claire.buchanan@northwestern.edu,S-12954
ece593d2-fdd4-4d8a-a74e-6570bb2f7270,13b66597-2089-4bb0-bc2e-6ce4b92cc616,13b66597-2089-4bb0-bc2e-6ce4b92cc616,1,42.0564823,-87.6736894,POINT (-87.6736894 42.0564823),2020-02-28 02:42:11 SST,2020-02-28 02:42:17 SST,claire.buchanan@northwestern.edu,claire.buchanan@northwestern.edu,S-12905
7241b807-a17b-4632-a58e-0bc5c05f8ab4,69dc20c4-1a22-454a-a036-ae6f64c213a3,69dc20c4-1a22-454a-a036-ae6f64c213a3,1,,,,2020-02-28 02:46:20 SST,2020-02-28 02:46:28 SST,claire.buchanan@northwestern.edu,claire.buchanan@northwestern.edu,S-12926
4f3ca4ec-2c52-44c1-9dee-be6d22072beb,69dc20c4-1a22-454a-a036-ae6f64c213a3,69dc20c4-1a22-454a-a036-ae6f64c213a3,1,42.0565087,-87.6736629,POINT (-87.6736629 42.0565087),2020-02-28 02:46:28 SST,2020-02-28 02:46:35 SST,claire.buchanan@northwestern.edu,claire.buchanan@northwestern.edu,S-12925
