Strain,Species,S-plate and notes
QG4003,C. elegans,"C-5162.1, C. elegans, Bunya Mtns, species ID by 18S: yes; species ID by testcross: no; frozen without bleaching"
QG4004,C. elegans,"C-5177.1, C. elegans, Bunya Mtns, species ID by 18S: no; species ID by testcross: yes"
QG4005,C. elegans,"C-5177.2, C. elegans, Bunya Mtns, species ID by 18S: yes; species ID by testcross: yes"
QG4006,C. elegans,"C-5177.3, C. elegans, Bunya Mtns, species ID by 18S: no; species ID by testcross: yes; frozen without bleaching"
QG4007,C. elegans,"C-5177.4, C. elegans, Bunya Mtns, species ID by 18S: yes; species ID by testcross: no"
QG4008,C. elegans,"C-5177.5, C. elegans, Bunya Mtns, species ID by 18S: no; species ID by testcross: yes"
QG4009,C. elegans,"C-5177.6, C. elegans, Bunya Mtns, species ID by 18S: yes; species ID by testcross: no"
QG4010,C. elegans,"C-5185.2, C. elegans, Tamborine, species ID by 18S: yes; species ID by testcross: yes"
QG4011,C. elegans,"C-5185.3, C. elegans, Tamborine, species ID by 18S: yes; species ID by testcross: yes"
QG4012,C. elegans,"C-5185.4, C. elegans, Tamborine, species ID by 18S: yes; species ID by testcross: yes"
QG4013,C. elegans - lost,"C-5185.5, C. elegans, Tamborine, species ID by 18S: yes; species ID by testcross: no"
QG4014,C. elegans,"C-5185.6, C. elegans, Tamborine, species ID by 18S: no; species ID by testcross: yes"
QG4015,C. elegans,"C-5186.1, C. elegans, Tamborine, species ID by 18S: yes; species ID by testcross: yes"
QG4016,C. elegans,"C-5186.2, C. elegans, Tamborine, species ID by 18S: yes; species ID by testcross: yes"
QG4017,C. elegans,"C-5186.3, C. elegans, Tamborine, species ID by 18S: yes; species ID by testcross: yes"
QG4018,C. elegans,"C-5186.4, C. elegans, Tamborine, species ID by 18S: yes; species ID by testcross: yes"
QG4019,C. elegans,"C-5186.5, C. elegans, Tamborine, species ID by 18S: yes; species ID by testcross: yes"
QG4020,C. tribulationis,"C-5187.1, C. tribulationis, Tamborine, species ID by 18S: yes; species ID by testcross: no"
QG4021,C. elegans,"C-5187.2, C. elegans, Tamborine, species ID by 18S: yes; species ID by testcross: no"
QG4022,C. tribulationis,"C-5187.3, C. tribulationis, Tamborine, species ID by 18S: yes; species ID by testcross: no"
